COUNTY,POP_TTL,TOTALVOTES,NO DIPLOMA,DIPLOMA,BACHELORS,GRADUATE,MILS,GENX,BOOMERS,SILENTS,WINNER
"Caldwell County, Texas",39347,12092,6228,11397,2896,1122,11725,7476,10348,2164,TRUMP
"Calhoun County, Texas",21666,6965,3288,5219,1606,789,5503,3965,6175,1495,TRUMP
"Callahan County, Texas",13532,5579,1329,4077,1052,337,2828,2436,4506,1137,TRUMP
"Cameron County, Texas",417947,92079,94793,72633,29480,11206,117443,76484,90277,22569,CLINTON
"Camp County, Texas",12516,4542,2052,3330,811,361,3204,2115,3530,951,TRUMP
"Carson County, Texas",6068,2964,533,1267,652,365,1390,1001,1905,467,TRUMP
"Cass County, Texas",30328,12344,3371,10298,2130,849,6642,5398,10039,2699,TRUMP
"Castro County, Texas",7948,1997,1631,1865,465,183,1971,1383,2003,572,TRUMP
"Chambers County, Texas",37251,16786,4748,8940,3204,1270,9611,8121,9574,1378,TRUMP
"Cherokee County, Texas",51167,16790,8363,12651,4157,1374,12945,9517,14173,3531,TRUMP
"Childress County, Texas",7059,2084,921,2218,579,272,2372,1200,1765,508,TRUMP
"Clay County, Texas",10479,5018,986,3186,861,363,2190,1834,3751,880,TRUMP
"Cochran County, Texas",2993,901,753,623,135,87,790,524,748,215,TRUMP
"Coke County, Texas",3238,1423,314,856,390,155,554,576,1221,369,TRUMP
"Coleman County, Texas",8536,3643,1291,2727,571,158,1733,1374,3116,828,TRUMP
"Collin County, Texas",862215,361419,45601,106256,188426,98469,221589,212967,203483,28453,TRUMP
"Collingsworth County, Texas",3058,1156,532,698,261,91,700,361,985,281,TRUMP
"Colorado County, Texas",20757,8513,2881,6142,2200,606,4484,3425,6829,1993,TRUMP
"Comal County, Texas",119632,62178,9131,24895,19720,8719,26798,22969,39479,7896,TRUMP
"Comanche County, Texas",13623,5237,2260,3919,1112,489,2834,2370,4468,1321,TRUMP
"Concho County, Texas",4086,1068,1244,1085,273,104,1079,1009,1099,294,TRUMP
"Cooke County, Texas",38761,15955,4011,9577,3971,1620,9613,6744,11977,2830,TRUMP
"Coryell County, Texas",76128,18253,6623,18588,5150,2023,27102,15606,14008,2512,TRUMP
"Cottle County, Texas",1510,612,270,338,122,39,266,148,598,163,TRUMP
"Crane County, Texas",4730,1384,950,1033,272,98,1320,856,1135,251,TRUMP
"Crockett County, Texas",3699,1395,808,828,237,112,910,618,1254,200,TRUMP
"Crosby County, Texas",6007,1728,1302,1388,352,99,1424,997,1706,481,TRUMP
"Culberson County, Texas",2296,767,591,630,106,40,661,328,726,142,CLINTON
"Dallam County, Texas",7014,1544,1149,1821,401,96,2139,1312,1473,224,TRUMP
"Dallas County, Texas",2485003,758973,400679,433415,314750,165969,745501,516881,554156,96915,CLINTON
"Dawson County, Texas",13542,3563,2997,3865,729,248,4361,2302,3196,934,TRUMP
"Deaf Smith County, Texas",19245,4216,3460,4097,1289,449,5369,3406,4215,1058,TRUMP
"Delta County, Texas",5223,2281,634,1366,528,160,1170,883,1755,444,TRUMP
"Denton County, Texas",731851,298645,46113,107281,139725,60465,214432,171253,165398,20492,TRUMP
"DeWitt County, Texas",20540,6844,3351,6232,1631,551,4642,3923,6224,1992,TRUMP
"Dickens County, Texas",2281,909,449,483,191,66,424,486,782,194,TRUMP
"Dimmit County, Texas",10682,3225,2320,2347,466,305,2724,1987,2660,662,CLINTON
"Donley County, Texas",3588,1465,431,933,232,134,958,513,1123,416,TRUMP
"Duval County, Texas",11577,4168,2741,3010,426,177,3276,2130,3010,903,CLINTON
"Eastland County, Texas",18328,6963,2270,5207,1309,515,4509,2676,5993,1796,TRUMP
"Ector County, Texas",149557,36530,26446,31653,10232,3677,46662,26621,32304,6281,TRUMP
"Edwards County, Texas",1906,1073,348,486,285,58,337,366,753,177,TRUMP
"Ellis County, Texas",157058,63673,17683,34485,15478,6264,41777,32040,40992,6753,TRUMP
"El Paso County, Texas",831095,214008,134644,150644,78008,32960,255146,155415,182010,40724,CLINTON
"Erath County, Texas",40039,13893,4223,8118,4794,1856,14854,6206,9409,2442,TRUMP
"Falls County, Texas",17410,5248,3410,5065,1065,364,4527,3465,4997,1306,TRUMP
"Fannin County, Texas",33748,12044,4889,9281,2428,1417,8302,6446,10529,2599,TRUMP
"Fayette County, Texas",24849,11174,3911,7419,2107,806,4920,4075,8921,2609,TRUMP
"Fisher County, Texas",3858,1729,492,1069,336,122,934,575,1238,424,TRUMP
"Floyd County, Texas",6178,1959,1107,1320,549,145,1477,1081,1674,513,TRUMP
"Foard County, Texas",1197,513,215,258,149,56,165,227,414,176,TRUMP
"Fort Bend County, Texas",658331,262066,54801,88853,121108,65936,170508,150099,163924,21067,CLINTON
"Franklin County, Texas",10599,4380,1131,2817,818,516,2109,1993,3402,880,TRUMP
"Freestone County, Texas",19586,7684,2805,5091,1334,488,4387,3800,6170,1489,TRUMP
"Frio County, Texas",18168,4400,4760,4775,796,110,6504,3179,3979,927,CLINTON
"Gaines County, Texas",18916,4620,4563,3950,953,361,5391,3291,3840,832,TRUMP
"Galveston County, Texas",308163,122903,29871,58148,41301,20930,81355,61633,86902,15408,TRUMP
"Garza County, Texas",6410,1484,2082,1514,330,195,1699,2026,1455,372,TRUMP
"Gillespie County, Texas",25398,13214,2739,5637,4347,1999,4622,3810,9423,3429,TRUMP
"Glasscock County, Texas",1180,604,177,221,186,20,232,270,323,93,TRUMP
"Goliad County, Texas",7410,3708,685,2369,514,251,1504,1349,2616,645,TRUMP
"Gonzales County, Texas",20172,6334,4264,5052,1320,484,5003,3550,5749,1352,TRUMP
"Gray County, Texas",22983,7405,3352,5636,1562,588,5907,4482,5999,1747,TRUMP
"Grayson County, Texas",122780,47416,12982,29584,11165,6047,30449,22223,37202,8595,TRUMP
"Gregg County, Texas",123178,41749,14631,26228,11816,5129,34367,22418,31903,8007,TRUMP
"Grimes County, Texas",26961,9533,4735,7616,1488,714,6417,5473,8223,1726,TRUMP
"Guadalupe County, Texas",143460,57822,14075,32210,16375,8395,37587,30270,37013,7460,TRUMP
"Hale County, Texas",35504,8858,6681,8552,2156,1191,10580,6391,8059,2059,TRUMP
"Hall County, Texas",3203,1091,649,727,187,79,698,503,1073,324,TRUMP
"Hamilton County, Texas",8266,3620,1328,2316,944,352,1612,1339,2885,1058,TRUMP
"Hansford County, Texas",5559,1947,1020,1169,540,157,1329,1034,1451,367,TRUMP
"Hardeman County, Texas",3992,1513,678,1000,409,107,930,711,1317,315,TRUMP
"Hardin County, Texas",55375,22780,5875,16008,4180,1702,13622,10687,16114,3267,TRUMP
"Harris County, Texas",4356362,1312112,643874,769351,551793,291540,1319978,906123,971469,156829,CLINTON
"Harrison County, Texas",66417,26548,7795,16898,6336,2263,16870,12154,19261,4184,TRUMP
"Hartley County, Texas",6121,1952,940,1711,751,240,1561,1579,1524,392,TRUMP
"Haskell County, Texas",5853,1770,1343,1579,451,195,1493,989,1820,691,TRUMP
"Hays County, Texas",177562,72164,13629,28087,28593,11480,63035,33382,39951,6215,TRUMP
"Hemphill County, Texas",4115,1695,512,709,555,114,934,757,1029,267,TRUMP
"Henderson County, Texas",79016,30045,10824,21946,6527,2735,17779,13828,26312,6637,TRUMP
"Hidalgo County, Texas",819217,173437,191370,131132,57995,22147,244127,153194,152374,36865,CLINTON
"Hill County, Texas",34923,12970,5447,8871,2434,1178,8067,5972,11140,2829,TRUMP
"Hockley County, Texas",23322,7311,3556,4399,1655,637,6903,3871,5924,1353,TRUMP
"Hood County, Texas",53171,26262,5196,12261,6677,3205,11166,8773,18716,5370,TRUMP
"Hopkins County, Texas",35645,13538,4575,10047,2564,1353,8555,6594,10266,2709,TRUMP
"Houston County, Texas",22949,8353,3403,6901,1877,614,5003,4567,7527,2157,TRUMP
"Howard County, Texas",36105,8723,6100,8741,2406,858,10254,7329,9604,2094,TRUMP
"Hudspeth County, Texas",3330,871,1149,625,147,41,852,626,956,200,TRUMP
"Hunt County, Texas",88052,31554,10945,23122,7200,3734,23070,16466,25535,5459,TRUMP
"Hutchinson County, Texas",21858,8155,2641,5144,1570,618,5508,3934,6208,1464,TRUMP
"Irion County, Texas",1644,766,157,445,118,47,353,268,575,123,TRUMP
"Jack County, Texas",8946,3350,1541,2905,445,240,2594,1655,2737,581,TRUMP
"Jackson County, Texas",14486,5302,2062,3779,1394,366,3462,2448,4389,1072,TRUMP
"Jasper County, Texas",35768,13419,4404,11794,1703,624,7976,6510,11088,2647,TRUMP
"Jeff Davis County, Texas",2232,1191,381,412,333,317,304,373,1114,147,TRUMP
"Jefferson County, Texas",252872,87618,32760,64654,23119,9065,72827,47793,66758,15678,TRUMP
"Jim Hogg County, Texas",5239,2119,1117,1120,313,121,1331,765,1656,335,CLINTON
"Jim Wells County, Texas",41461,12379,8857,10189,2071,939,11277,7214,10697,2488,CLINTON
"Johnson County, Texas",155450,57606,19479,36959,13092,4990,40262,31401,42282,7617,TRUMP
"Jones County, Texas",19978,5960,4439,6450,1082,356,5993,4495,5374,1199,TRUMP
"Karnes County, Texas",14879,4198,3253,4235,1070,304,4657,2797,3705,1071,TRUMP
"Kaufman County, Texas",109289,41265,12806,25195,9422,4248,28087,22841,28306,4699,TRUMP
"Kendall County, Texas",37361,20120,2933,6379,6954,3618,7808,7211,12366,2952,TRUMP
"Kenedy County, Texas",565,186,116,140,31,19,146,84,142,19,CLINTON
"Kent County, Texas",821,434,142,171,98,58,140,131,304,95,TRUMP
"Kerr County, Texas",50149,23297,5324,11746,6703,3493,10882,7472,17652,6269,TRUMP
"Kimble County, Texas",4486,1952,631,1339,472,151,790,641,1907,534,TRUMP
"King County, Texas",267,159,48,90,33,15,76,53,91,22,TRUMP
"Kinney County, Texas",3577,1430,949,839,296,38,876,615,1238,254,TRUMP
"Kleberg County, Texas",32029,9512,5386,4693,3711,1560,12171,4708,6950,1698,CLINTON
"Knox County, Texas",3796,1367,540,1051,309,79,854,623,1078,421,TRUMP
"Lamar County, Texas",49566,18611,6039,12556,3785,1820,12243,9170,14771,3767,TRUMP
"Lamb County, Texas",13742,3995,2562,2987,1010,419,3436,2350,3518,1141,TRUMP
"Lampasas County, Texas",20219,8205,2205,4134,1961,950,4650,3882,6308,1415,TRUMP
"La Salle County, Texas",7191,2059,1906,1678,461,216,2244,1244,1596,388,CLINTON
"Lavaca County, Texas",19549,8661,2776,6123,1651,558,4027,3186,6412,2131,TRUMP
"Lee County, Texas",16664,6535,2338,4938,1400,548,4066,3083,5316,1166,TRUMP
"Leon County, Texas",16819,7439,2171,4784,1431,618,3431,2809,5954,1514,TRUMP
"Liberty County, Texas",77486,24267,13789,22150,3431,1472,21154,15420,21154,3642,TRUMP
"Limestone County, Texas",23454,7739,3688,6594,1605,622,5981,4245,7013,1712,TRUMP
"Lipscomb County, Texas",3483,1332,460,944,319,98,1027,575,902,226,TRUMP
"Live Oak County, Texas",11873,4302,1898,3451,861,248,2897,2244,3764,1021,TRUMP
"Llano County, Texas",19323,10447,2024,4577,2992,1249,2918,2493,8502,2860,TRUMP
"Loving County, Texas",117,65,21,60,2,0,25,25,61,0,TRUMP
"Lubbock County, Texas",290782,99013,30670,53610,34226,17573,103809,47688,64844,14830,TRUMP
"Lynn County, Texas",5764,2009,917,1393,487,151,1355,1020,1660,427,TRUMP
"McCulloch County, Texas",8273,3103,1362,2088,638,285,1770,1398,2780,711,TRUMP
"McLennan County, Texas",241505,79075,28470,49514,24254,11234,76799,41056,58927,14490,TRUMP
"McMullen County, Texas",778,499,139,172,48,39,187,128,210,104,TRUMP
"Madison County, Texas",13838,4289,3070,4236,783,273,5023,2712,3321,913,TRUMP
"Marion County, Texas",10248,4238,1406,3159,712,439,1978,1804,3945,1004,TRUMP
"Martin County, Texas",5252,1762,856,1284,422,139,1408,940,1334,226,TRUMP
"Mason County, Texas",4066,2057,538,1165,466,219,850,602,1647,411,TRUMP
"Matagorda County, Texas",36598,12196,6085,10059,2870,842,9369,6148,10723,2415,TRUMP
"Maverick County, Texas",56548,13588,14673,9244,2566,958,16625,10235,11988,2714,CLINTON
"Medina County, Texas",47392,17246,6887,11479,4197,1798,12275,8862,13933,2938,TRUMP
"Menard County, Texas",2182,864,379,537,137,133,380,329,788,223,TRUMP
"Midland County, Texas",151290,49212,18838,28006,18144,7005,46597,26627,35402,7413,TRUMP
"Milam County, Texas",24344,8664,3617,6924,2092,701,5526,4138,7620,2069,TRUMP
"Mills County, Texas",4875,2245,643,962,518,247,853,839,1589,566,TRUMP
"Mitchell County, Texas",9169,2196,2114,2470,563,153,3053,1825,2283,568,TRUMP
"Montague County, Texas",19478,8604,2689,5199,1601,605,4246,3233,6467,1850,TRUMP
"Montgomery County, Texas",502586,204632,53018,92813,73489,34253,128662,105543,134190,21611,TRUMP
"Moore County, Texas",22281,5284,5342,4058,1251,334,6439,4144,4657,914,TRUMP
"Morris County, Texas",12700,4973,1749,3351,839,454,2870,2210,3912,1295,TRUMP
"Motley County, Texas",1071,615,144,268,105,18,312,175,311,124,TRUMP
"Nacogdoches County, Texas",65531,22622,7870,12559,6120,3875,23329,9961,15662,3604,TRUMP
"Navarro County, Texas",48118,16433,7999,11059,3451,1535,11885,8998,13666,3080,TRUMP
"Newton County, Texas",14231,5534,1593,5412,475,178,3501,2789,4412,968,TRUMP
"Nolan County, Texas",15061,4857,2348,4185,913,319,3765,2681,4307,1115,TRUMP
"Nueces County, Texas",352060,104405,49368,76002,32080,16493,102097,64427,91888,19715,TRUMP
"Ochiltree County, Texas",10642,3002,1878,2209,673,292,2863,2128,2309,458,TRUMP
"Oldham County, Texas",2071,948,248,313,236,88,621,273,570,130,TRUMP
"Orange County, Texas",83217,32000,7462,25249,5903,2326,21220,15894,24050,5243,TRUMP
"Palo Pinto County, Texas",27921,10270,4048,8125,2037,978,6506,4886,8879,2038,TRUMP
"Panola County, Texas",23900,10416,3071,5719,1505,624,5927,4206,7098,1745,TRUMP
"Parker County, Texas",121418,56817,10651,25444,15457,6509,29383,24284,36911,6435,TRUMP
"Parmer County, Texas",10004,2466,2216,2247,713,280,2761,1811,2391,550,TRUMP
"Pecos County, Texas",15807,4185,3682,4209,802,357,4458,3177,3999,869,TRUMP
"Polk County, Texas",46113,19852,7675,13717,2762,1398,10514,8531,15863,3274,TRUMP
"Potter County, Texas",122352,28651,20852,25350,8335,3516,35482,23247,28386,6362,TRUMP
"Presidio County, Texas",7304,2208,2312,954,688,578,1366,1541,2031,628,CLINTON
"Rains County, Texas",11037,4701,1521,3447,602,261,2174,1909,4106,993,TRUMP
"Randall County, Texas",126782,54305,8294,21537,17652,8264,36894,23201,33470,7100,TRUMP
"Reagan County, Texas",3598,904,772,1031,207,57,939,698,964,201,TRUMP
"Real County, Texas",3356,1681,569,739,396,149,571,497,1232,574,TRUMP
"Red River County, Texas",12567,5161,2043,3920,949,252,2802,2187,4361,1118,TRUMP
"Reeves County, Texas",14179,3184,4204,3192,808,220,4310,3048,3332,893,CLINTON
"Refugio County, Texas",7277,2948,1142,1961,313,185,1630,1259,2321,684,TRUMP
"Roberts County, Texas",931,554,21,212,162,41,193,151,297,62,TRUMP
"Robertson County, Texas",16532,7035,2494,4674,1333,475,3868,2860,5075,1356,TRUMP
"Rockwall County, Texas",85536,39948,5502,14605,14445,6481,20871,19588,21812,3678,TRUMP
"Runnels County, Texas",10445,3782,1629,3137,989,295,2361,1744,3311,1003,TRUMP
"Rusk County, Texas",53457,18994,8251,13888,3698,1393,14006,10264,15289,3475,TRUMP
"Sabine County, Texas",10440,4651,1256,3705,587,326,1900,1503,4040,1253,TRUMP
"San Augustine County, Texas",8695,3569,1374,3053,448,238,1704,1356,3174,930,TRUMP
"San Jacinto County, Texas",27023,10343,4198,9367,1511,607,5648,4567,9674,1973,TRUMP
"San Patricio County, Texas",66070,21656,10806,15405,4486,1974,17773,12157,17442,3832,TRUMP
"San Saba County, Texas",5893,2357,1055,1431,475,174,1497,1014,1862,554,TRUMP
"Schleicher County, Texas",3224,1059,473,615,305,101,777,567,887,174,TRUMP
"Scurry County, Texas",17238,5289,2408,4050,1209,586,4792,3310,4413,1086,TRUMP
"Shackelford County, Texas",3352,1504,360,928,427,95,707,610,1083,298,TRUMP
"Shelby County, Texas",25725,9086,4406,6612,1775,861,6380,4605,7229,1749,TRUMP
"Sherman County, Texas",3066,935,588,644,337,93,711,702,806,178,TRUMP
"Smith County, Texas",217552,84768,25251,42349,25906,11126,60697,39159,57869,14576,TRUMP
"Somervell County, Texas",8608,3897,1178,1775,986,401,1971,1687,2686,611,TRUMP
"Starr County, Texas",62648,11740,20317,10013,2562,869,18481,11339,12342,2944,CLINTON
"Stephens County, Texas",9452,3461,1530,2551,908,316,2420,1597,2911,756,TRUMP
"Sterling County, Texas",1346,633,205,289,139,56,288,214,421,70,TRUMP
"Stonewall County, Texas",1414,701,200,383,115,43,194,214,530,160,TRUMP
"Sutton County, Texas",3966,1416,717,830,410,100,1039,706,1027,258,TRUMP
"Swisher County, Texas",7713,2204,1237,2145,553,236,2083,1172,2121,671,TRUMP
"Tarrant County, Texas",1914526,668514,209462,345071,263793,118400,545640,400136,447999,76581,TRUMP
"Taylor County, Texas",134435,45759,13104,29982,14846,6495,44364,21375,32399,8604,TRUMP
"Terrell County, Texas",921,438,145,274,70,58,137,215,286,144,TRUMP
"Terry County, Texas",12687,3355,2921,2766,732,312,3527,2220,3222,837,TRUMP
"Throckmorton County, Texas",1545,808,174,401,201,53,307,235,552,216,TRUMP
"Titus County, Texas",32553,9419,5983,7119,2020,1011,8822,6218,7813,1725,TRUMP
"Tom Green County, Texas",115056,38479,13889,27471,11860,5462,36703,18409,29684,7479,TRUMP
"Travis County, Texas",1121645,468720,104894,152589,232424,125178,376873,249005,237789,37014,CLINTON
"Trinity County, Texas",14405,5985,1972,4785,885,312,2766,2348,5243,1657,TRUMP
"Tyler County, Texas",21462,8016,3080,7174,1198,524,5387,3885,6803,1846,TRUMP
"Upshur County, Texas",40096,16013,5302,10031,2861,1105,9503,7177,12630,2686,TRUMP
"Upton County, Texas",3405,1347,551,936,146,70,913,558,817,204,TRUMP
"Uvalde County, Texas",26952,8964,5227,4899,2006,659,7385,4582,6819,1914,TRUMP
"Val Verde County, Texas",48980,13617,11214,9684,4239,1233,14400,8669,11021,2890,CLINTON
"Van Zandt County, Texas",52736,21890,7772,14356,3795,1894,11444,9651,17297,4324,TRUMP
"Victoria County, Texas",90099,31123,12151,21329,7742,3239,24417,15857,24417,5676,TRUMP
"Walker County, Texas",69330,19796,9361,18670,6687,2638,25791,14282,17055,3259,TRUMP
"Waller County, Texas",45847,16784,6392,10316,3509,1260,16413,7336,11049,1880,TRUMP
"Ward County, Texas",11225,3445,1944,2884,579,247,2997,1998,2840,752,TRUMP
"Washington County, Texas",34236,14828,4409,8266,3600,1466,8662,5683,10647,3081,TRUMP
"Webb County, Texas",263251,56905,55912,44521,18188,7555,80028,50544,47385,9214,CLINTON
"Wharton County, Texas",41264,14732,6900,10745,2748,1213,10646,7180,11554,2971,TRUMP
"Wheeler County, Texas",5618,2306,747,1288,523,137,1270,961,1747,410,TRUMP
"Wichita County, Texas",131957,38119,13086,34413,13034,6051,42490,22433,33253,8577,TRUMP
"Wilbarger County, Texas",13158,4105,2077,3226,1174,296,3421,2250,3882,974,TRUMP
"Willacy County, Texas",22002,5095,5733,6204,878,258,7107,4202,4840,1188,CLINTON
"Williamson County, Texas",473592,203081,28009,75364,84293,38997,125028,111768,108926,18470,TRUMP
"Wilson County, Texas",45509,19432,5182,11868,4260,1833,10649,9147,13835,2594,TRUMP
"Winkler County, Texas",7576,1876,1476,1658,462,79,2068,1439,1826,356,TRUMP
"Wise County, Texas",61243,24776,7326,16754,5356,1693,15250,11942,18005,3246,TRUMP
"Wood County, Texas",42712,18727,5296,12098,3886,1513,8713,6663,15803,4613,TRUMP
"Yoakum County, Texas",8213,2303,1527,1655,515,252,2053,1643,1864,394,TRUMP
"Young County, Texas",18329,7707,2735,5031,1530,737,3996,3098,5865,1668,TRUMP
"Zapata County, Texas",14308,3142,4191,2619,425,242,4178,2432,3005,558,CLINTON
"Zavala County, Texas",12060,3396,3028,2304,481,136,3546,2050,2689,687,CLINTON
