County,Population,Voter Turnout (%),No Diploma (%),Diploma (%),Bachelors (%),Masters (%),Millennials (%),GenX (%),Boomers (%),Silents (%),Winner
Eastland,18328,38,12,28,7,3,25,15,33,10,TRUMP
Ector,149557,24,18,21,7,2,31,18,22,4,TRUMP
Edwards,1906,56,18,25,15,3,18,19,40,9,TRUMP
Ellis,157058,41,11,22,10,4,27,20,26,4,TRUMP
El,831095,26,16,18,9,4,31,19,22,5,CLINTON
Erath,40039,35,11,20,12,5,37,15,23,6,TRUMP
Falls,17410,30,20,29,6,2,26,20,29,8,TRUMP
Fannin,33748,36,14,28,7,4,25,19,31,8,TRUMP
Fayette,24849,45,16,30,8,3,20,16,36,10,TRUMP
Fisher,3858,45,13,28,9,3,24,15,32,11,TRUMP
Floyd,6178,32,18,21,9,2,24,17,27,8,TRUMP
Foard,1197,43,18,22,12,5,14,19,35,15,TRUMP
Fort,658331,40,8,13,18,10,26,23,25,3,CLINTON
Franklin,10599,41,11,27,8,5,20,19,32,8,TRUMP
Freestone,19586,39,14,26,7,2,22,19,32,8,TRUMP
Frio,18168,24,26,26,4,1,36,17,22,5,CLINTON
Gaines,18916,24,24,21,5,2,28,17,20,4,TRUMP
Galveston,308163,40,10,19,13,7,26,20,28,5,TRUMP
Garza,6410,23,32,24,5,3,27,32,23,6,TRUMP
Gillespie,25398,52,11,22,17,8,18,15,37,14,TRUMP
Glasscock,1180,51,15,19,16,2,20,23,27,8,TRUMP
Goliad,7410,50,9,32,7,3,20,18,35,9,TRUMP
Gonzales,20172,31,21,25,7,2,25,18,28,7,TRUMP
Gray,22983,32,15,25,7,3,26,20,26,8,TRUMP
Grayson,122780,39,11,24,9,5,25,18,30,7,TRUMP
Gregg,123178,34,12,21,10,4,28,18,26,7,TRUMP
Grimes,26961,35,18,28,6,3,24,20,30,6,TRUMP
Guadalupe,143460,40,10,22,11,6,26,21,26,5,TRUMP
Hale,35504,25,19,24,6,3,30,18,23,6,TRUMP
Hall,3203,34,20,23,6,2,22,16,33,10,TRUMP
Hamilton,8266,44,16,28,11,4,20,16,35,13,TRUMP
Hansford,5559,35,18,21,10,3,24,19,26,7,TRUMP
Hardeman,3992,38,17,25,10,3,23,18,33,8,TRUMP
Hardin,55375,41,11,29,8,3,25,19,29,6,TRUMP
Harris,4356362,30,15,18,13,7,30,21,22,4,CLINTON
Harrison,66417,40,12,25,10,3,25,18,29,6,TRUMP
Hartley,6121,32,15,28,12,4,26,26,25,6,TRUMP
Haskell,5853,30,23,27,8,3,26,17,31,12,TRUMP
Hays,177562,41,8,16,16,6,36,19,22,4,TRUMP
Hemphill,4115,41,12,17,13,3,23,18,25,6,TRUMP
Henderson,79016,38,14,28,8,3,23,18,33,8,TRUMP
Hidalgo,819217,21,23,16,7,3,30,19,19,5,CLINTON
Hill,34923,37,16,25,7,3,23,17,32,8,TRUMP
Hockley,23322,31,15,19,7,3,30,17,25,6,TRUMP
Hood,53171,49,10,23,13,6,21,16,35,10,TRUMP
Hopkins,35645,38,13,28,7,4,24,18,29,8,TRUMP
Houston,22949,36,15,30,8,3,22,20,33,9,TRUMP
Howard,36105,24,17,24,7,2,28,20,27,6,TRUMP
Hudspeth,3330,26,35,19,4,1,26,19,29,6,TRUMP
Hunt,88052,36,12,26,8,4,26,19,29,6,TRUMP
Hutchinson,21858,37,12,24,7,3,25,18,28,7,TRUMP
Irion,1644,47,10,27,7,3,21,16,35,7,TRUMP
Jack,8946,37,17,32,5,3,29,18,31,6,TRUMP
Jackson,14486,37,14,26,10,3,24,17,30,7,TRUMP
Jasper,35768,38,12,33,5,2,22,18,31,7,TRUMP
Jeff,2232,53,17,18,15,14,14,17,50,7,TRUMP
Jefferson,252872,35,13,26,9,4,29,19,26,6,TRUMP
Jim,5239,40,21,21,6,2,25,15,32,6,CLINTON
Jim,41461,30,21,25,5,2,27,17,26,6,CLINTON
Johnson,155450,37,13,24,8,3,26,20,27,5,TRUMP
Jones,19978,30,22,32,5,2,30,22,27,6,TRUMP
Karnes,14879,28,22,28,7,2,31,19,25,7,TRUMP
Kaufman,109289,38,12,23,9,4,26,21,26,4,TRUMP
Kendall,37361,54,8,17,19,10,21,19,33,8,TRUMP
Kenedy,565,33,21,25,5,3,26,15,25,3,CLINTON
Kent,821,53,17,21,12,7,17,16,37,12,TRUMP
Kerr,50149,46,11,23,13,7,22,15,35,13,TRUMP
Kimble,4486,44,14,30,11,3,18,14,43,12,TRUMP
King,267,60,18,34,12,6,28,20,34,8,TRUMP
Kinney,3577,40,27,23,8,1,24,17,35,7,TRUMP
Kleberg,32029,30,17,15,12,5,38,15,22,5,CLINTON
Knox,3796,36,14,28,8,2,22,16,28,11,TRUMP
Lamar,49566,38,12,25,8,4,25,19,30,8,TRUMP
Lamb,13742,29,19,22,7,3,25,17,26,8,TRUMP
Lampasas,20219,41,11,20,10,5,23,19,31,7,TRUMP
La,7191,29,27,23,6,3,31,17,22,5,CLINTON
Lavaca,19549,44,14,31,8,3,21,16,33,11,TRUMP
Lee,16664,39,14,30,8,3,24,19,32,7,TRUMP
Leon,16819,44,13,28,9,4,20,17,35,9,TRUMP
Liberty,77486,31,18,29,4,2,27,20,27,5,TRUMP
Limestone,23454,33,16,28,7,3,26,18,30,7,TRUMP
Lipscomb,3483,38,13,27,9,3,29,17,26,6,TRUMP
Live,11873,36,16,29,7,2,24,19,32,9,TRUMP
Llano,19323,54,10,24,15,6,15,13,44,15,TRUMP
Loving,117,56,18,51,2,0,21,21,52,0,TRUMP
Lubbock,290782,34,11,18,12,6,36,16,22,5,TRUMP
Lynn,5764,35,16,24,8,3,24,18,29,7,TRUMP
McCulloch,8273,38,16,25,8,3,21,17,34,9,TRUMP
McLennan,241505,33,12,21,10,5,32,17,24,6,TRUMP
McMullen,778,64,18,22,6,5,24,16,27,13,TRUMP
Madison,13838,31,22,31,6,2,36,20,24,7,TRUMP
Marion,10248,41,14,31,7,4,19,18,38,10,TRUMP
Martin,5252,34,16,24,8,3,27,18,25,4,TRUMP
Mason,4066,51,13,29,11,5,21,15,41,10,TRUMP
Matagorda,36598,33,17,27,8,2,26,17,29,7,TRUMP
Maverick,56548,24,26,16,5,2,29,18,21,5,CLINTON
Medina,47392,36,15,24,9,4,26,19,29,6,TRUMP
Menard,2182,40,17,25,6,6,17,15,36,10,TRUMP
Midland,151290,33,12,19,12,5,31,18,23,5,TRUMP
Milam,24344,36,15,28,9,3,23,17,31,8,TRUMP
Mills,4875,46,13,20,11,5,17,17,33,12,TRUMP
Mitchell,9169,24,23,27,6,2,33,20,25,6,TRUMP
Montague,19478,44,14,27,8,3,22,17,33,9,TRUMP
Montgomery,502586,41,11,18,15,7,26,21,27,4,TRUMP
Moore,22281,24,24,18,6,1,29,19,21,4,TRUMP
Morris,12700,39,14,26,7,4,23,17,31,10,TRUMP
Motley,1071,57,13,25,10,2,29,16,29,12,TRUMP
Nacogdoches,65531,35,12,19,9,6,36,15,24,5,TRUMP
Navarro,48118,34,17,23,7,3,25,19,28,6,TRUMP
Newton,14231,39,11,38,3,1,25,20,31,7,TRUMP
Nolan,15061,32,16,28,6,2,25,18,29,7,TRUMP
Nueces,352060,30,14,22,9,5,29,18,26,6,TRUMP
Ochiltree,10642,28,18,21,6,3,27,20,22,4,TRUMP
Oldham,2071,46,12,15,11,4,30,13,28,6,TRUMP
Orange,83217,38,9,30,7,3,25,19,29,6,TRUMP
Palo,27921,37,14,29,7,4,23,17,32,7,TRUMP
Panola,23900,44,13,24,6,3,25,18,30,7,TRUMP
Parker,121418,47,9,21,13,5,24,20,30,5,TRUMP
Parmer,10004,25,22,22,7,3,28,18,24,5,TRUMP
Pecos,15807,26,23,27,5,2,28,20,25,5,TRUMP
Polk,46113,43,17,30,6,3,23,19,34,7,TRUMP
Potter,122352,23,17,21,7,3,29,19,23,5,TRUMP
Presidio,7304,30,32,13,9,8,19,21,28,9,CLINTON
Rains,11037,43,14,31,5,2,20,17,37,9,TRUMP
Randall,126782,43,7,17,14,7,29,18,26,6,TRUMP
Reagan,3598,25,21,29,6,2,26,19,27,6,TRUMP
Real,3356,50,17,22,12,4,17,15,37,17,TRUMP
Red,12567,41,16,31,8,2,22,17,35,9,TRUMP
Reeves,14179,22,30,23,6,2,30,21,23,6,CLINTON
Refugio,7277,41,16,27,4,3,22,17,32,9,TRUMP
Roberts,931,60,2,23,17,4,21,16,32,7,TRUMP
Robertson,16532,43,15,28,8,3,23,17,31,8,TRUMP
Rockwall,85536,47,6,17,17,8,24,23,26,4,TRUMP
Runnels,10445,36,16,30,9,3,23,17,32,10,TRUMP
Rusk,53457,36,15,26,7,3,26,19,29,7,TRUMP
Sabine,10440,45,12,35,6,3,18,14,39,12,TRUMP
San,8695,41,16,35,5,3,20,16,37,11,TRUMP
San,27023,38,16,35,6,2,21,17,36,7,TRUMP
San,66070,33,16,23,7,3,27,18,26,6,TRUMP
San,5893,40,18,24,8,3,25,17,32,9,TRUMP
Schleicher,3224,33,15,19,9,3,24,18,28,5,TRUMP
Scurry,17238,31,14,23,7,3,28,19,26,6,TRUMP
Shackelford,3352,45,11,28,13,3,21,18,32,9,TRUMP
Shelby,25725,35,17,26,7,3,25,18,28,7,TRUMP
Sherman,3066,30,19,21,11,3,23,23,26,6,TRUMP
Smith,217552,39,12,19,12,5,28,18,27,7,TRUMP
Somervell,8608,45,14,21,11,5,23,20,31,7,TRUMP
Starr,62648,19,32,16,4,1,29,18,20,5,CLINTON
Stephens,9452,37,16,27,10,3,26,17,31,8,TRUMP
Sterling,1346,47,15,21,10,4,21,16,31,5,TRUMP
Stonewall,1414,50,14,27,8,3,14,15,37,11,TRUMP
Sutton,3966,36,18,21,10,3,26,18,26,7,TRUMP
Swisher,7713,29,16,28,7,3,27,15,27,9,TRUMP
Tarrant,1914526,35,11,18,14,6,29,21,23,4,TRUMP
Taylor,134435,34,10,22,11,5,33,16,24,6,TRUMP
Terrell,921,48,16,30,8,6,15,23,31,16,TRUMP
Terry,12687,26,23,22,6,2,28,17,25,7,TRUMP
Throckmorton,1545,52,11,26,13,3,20,15,36,14,TRUMP
Titus,32553,29,18,22,6,3,27,19,24,5,TRUMP
Tom,115056,33,12,24,10,5,32,16,26,7,TRUMP
Travis,1121645,42,9,14,21,11,34,22,21,3,CLINTON
Trinity,14405,42,14,33,6,2,19,16,36,12,TRUMP
Tyler,21462,37,14,33,6,2,25,18,32,9,TRUMP
Upshur,40096,40,13,25,7,3,24,18,31,7,TRUMP
Upton,3405,40,16,27,4,2,27,16,24,6,TRUMP
Uvalde,26952,33,19,18,7,2,27,17,25,7,TRUMP
Val,48980,28,23,20,9,3,29,18,23,6,CLINTON
Van,52736,42,15,27,7,4,22,18,33,8,TRUMP
Victoria,90099,35,13,24,9,4,27,18,27,6,TRUMP
Walker,69330,29,14,27,10,4,37,21,25,5,TRUMP
Waller,45847,37,14,23,8,3,36,16,24,4,TRUMP
Ward,11225,31,17,26,5,2,27,18,25,7,TRUMP
Washington,34236,43,13,24,11,4,25,17,31,9,TRUMP
Webb,263251,22,21,17,7,3,30,19,18,4,CLINTON
Wharton,41264,36,17,26,7,3,26,17,28,7,TRUMP
Wheeler,5618,41,13,23,9,2,23,17,31,7,TRUMP
Wichita,131957,29,10,26,10,5,32,17,25,6,TRUMP
Wilbarger,13158,31,16,25,9,2,26,17,30,7,TRUMP
Willacy,22002,23,26,28,4,1,32,19,22,5,CLINTON
Williamson,473592,43,6,16,18,8,26,24,23,4,TRUMP
Wilson,45509,43,11,26,9,4,23,20,30,6,TRUMP
Winkler,7576,25,19,22,6,1,27,19,24,5,TRUMP
Wise,61243,40,12,27,9,3,25,19,29,5,TRUMP
Wood,42712,44,12,28,9,4,20,16,37,11,TRUMP
Yoakum,8213,28,19,20,6,3,25,20,23,5,TRUMP
Young,18329,42,15,27,8,4,22,17,32,9,TRUMP
Zapata,14308,22,29,18,3,2,29,17,21,4,CLINTON
Zavala,12060,28,25,19,4,1,29,17,22,6,CLINTON
