County,POP_TTL,VOTER_TURNOUT_PCT,NO DIPLOMA,DIPLOMA,BACHELORS,GRADUATE,MILS,GENX,BOOMERS,SILENTS,WINNER
Callahan,13532,41,1329,4077,1052,337,2828,2436,4506,1137,TRUMP
Cameron,417947,22,94793,72633,29480,11206,117443,76484,90277,22569,CLINTON
Camp,12516,36,2052,3330,811,361,3204,2115,3530,951,TRUMP
Carson,6068,49,533,1267,652,365,1390,1001,1905,467,TRUMP
Cass,30328,41,3371,10298,2130,849,6642,5398,10039,2699,TRUMP
Castro,7948,25,1631,1865,465,183,1971,1383,2003,572,TRUMP
Chambers,37251,45,4748,8940,3204,1270,9611,8121,9574,1378,TRUMP
Cherokee,51167,33,8363,12651,4157,1374,12945,9517,14173,3531,TRUMP
Childress,7059,30,921,2218,579,272,2372,1200,1765,508,TRUMP
Clay,10479,48,986,3186,861,363,2190,1834,3751,880,TRUMP
Cochran,2993,30,753,623,135,87,790,524,748,215,TRUMP
Coke,3238,44,314,856,390,155,554,576,1221,369,TRUMP
Coleman,8536,43,1291,2727,571,158,1733,1374,3116,828,TRUMP
Collin,862215,42,45601,106256,188426,98469,221589,212967,203483,28453,TRUMP
Collingsworth,3058,38,532,698,261,91,700,361,985,281,TRUMP
Colorado,20757,41,2881,6142,2200,606,4484,3425,6829,1993,TRUMP
Comal,119632,52,9131,24895,19720,8719,26798,22969,39479,7896,TRUMP
Comanche,13623,38,2260,3919,1112,489,2834,2370,4468,1321,TRUMP
Concho,4086,26,1244,1085,273,104,1079,1009,1099,294,TRUMP
Cooke,38761,41,4011,9577,3971,1620,9613,6744,11977,2830,TRUMP
Coryell,76128,24,6623,18588,5150,2023,27102,15606,14008,2512,TRUMP
Cottle,1510,41,270,338,122,39,266,148,598,163,TRUMP
Crane,4730,29,950,1033,272,98,1320,856,1135,251,TRUMP
Crockett,3699,38,808,828,237,112,910,618,1254,200,TRUMP
Crosby,6007,29,1302,1388,352,99,1424,997,1706,481,TRUMP
Culberson,2296,33,591,630,106,40,661,328,726,142,CLINTON
Dallam,7014,22,1149,1821,401,96,2139,1312,1473,224,TRUMP
Dallas,2485003,31,400679,433415,314750,165969,745501,516881,554156,96915,CLINTON
Dawson,13542,26,2997,3865,729,248,4361,2302,3196,934,TRUMP
Deaf,19245,22,3460,4097,1289,449,5369,3406,4215,1058,TRUMP
Delta,5223,44,634,1366,528,160,1170,883,1755,444,TRUMP
Denton,731851,41,46113,107281,139725,60465,214432,171253,165398,20492,TRUMP
DeWitt,20540,33,3351,6232,1631,551,4642,3923,6224,1992,TRUMP
Dickens,2281,40,449,483,191,66,424,486,782,194,TRUMP
Dimmit,10682,30,2320,2347,466,305,2724,1987,2660,662,CLINTON
Donley,3588,41,431,933,232,134,958,513,1123,416,TRUMP
Duval,11577,36,2741,3010,426,177,3276,2130,3010,903,CLINTON
Eastland,18328,38,2270,5207,1309,515,4509,2676,5993,1796,TRUMP
Ector,149557,24,26446,31653,10232,3677,46662,26621,32304,6281,TRUMP
Edwards,1906,56,348,486,285,58,337,366,753,177,TRUMP
Ellis,157058,41,17683,34485,15478,6264,41777,32040,40992,6753,TRUMP
El,831095,26,134644,150644,78008,32960,255146,155415,182010,40724,CLINTON
Erath,40039,35,4223,8118,4794,1856,14854,6206,9409,2442,TRUMP
Falls,17410,30,3410,5065,1065,364,4527,3465,4997,1306,TRUMP
Fannin,33748,36,4889,9281,2428,1417,8302,6446,10529,2599,TRUMP
Fayette,24849,45,3911,7419,2107,806,4920,4075,8921,2609,TRUMP
Fisher,3858,45,492,1069,336,122,934,575,1238,424,TRUMP
Floyd,6178,32,1107,1320,549,145,1477,1081,1674,513,TRUMP
Foard,1197,43,215,258,149,56,165,227,414,176,TRUMP
Fort,658331,40,54801,88853,121108,65936,170508,150099,163924,21067,CLINTON
Franklin,10599,41,1131,2817,818,516,2109,1993,3402,880,TRUMP
Freestone,19586,39,2805,5091,1334,488,4387,3800,6170,1489,TRUMP
Frio,18168,24,4760,4775,796,110,6504,3179,3979,927,CLINTON
Gaines,18916,24,4563,3950,953,361,5391,3291,3840,832,TRUMP
Galveston,308163,40,29871,58148,41301,20930,81355,61633,86902,15408,TRUMP
Garza,6410,23,2082,1514,330,195,1699,2026,1455,372,TRUMP
Gillespie,25398,52,2739,5637,4347,1999,4622,3810,9423,3429,TRUMP
Glasscock,1180,51,177,221,186,20,232,270,323,93,TRUMP
Goliad,7410,50,685,2369,514,251,1504,1349,2616,645,TRUMP
Gonzales,20172,31,4264,5052,1320,484,5003,3550,5749,1352,TRUMP
Gray,22983,32,3352,5636,1562,588,5907,4482,5999,1747,TRUMP
Grayson,122780,39,12982,29584,11165,6047,30449,22223,37202,8595,TRUMP
Gregg,123178,34,14631,26228,11816,5129,34367,22418,31903,8007,TRUMP
Grimes,26961,35,4735,7616,1488,714,6417,5473,8223,1726,TRUMP
Guadalupe,143460,40,14075,32210,16375,8395,37587,30270,37013,7460,TRUMP
Hale,35504,25,6681,8552,2156,1191,10580,6391,8059,2059,TRUMP
Hall,3203,34,649,727,187,79,698,503,1073,324,TRUMP
Hamilton,8266,44,1328,2316,944,352,1612,1339,2885,1058,TRUMP
Hansford,5559,35,1020,1169,540,157,1329,1034,1451,367,TRUMP
Hardeman,3992,38,678,1000,409,107,930,711,1317,315,TRUMP
Hardin,55375,41,5875,16008,4180,1702,13622,10687,16114,3267,TRUMP
Harris,4356362,30,643874,769351,551793,291540,1319978,906123,971469,156829,CLINTON
Harrison,66417,40,7795,16898,6336,2263,16870,12154,19261,4184,TRUMP
Hartley,6121,32,940,1711,751,240,1561,1579,1524,392,TRUMP
Haskell,5853,30,1343,1579,451,195,1493,989,1820,691,TRUMP
Hays,177562,41,13629,28087,28593,11480,63035,33382,39951,6215,TRUMP
Hemphill,4115,41,512,709,555,114,934,757,1029,267,TRUMP
Henderson,79016,38,10824,21946,6527,2735,17779,13828,26312,6637,TRUMP
Hidalgo,819217,21,191370,131132,57995,22147,244127,153194,152374,36865,CLINTON
Hill,34923,37,5447,8871,2434,1178,8067,5972,11140,2829,TRUMP
Hockley,23322,31,3556,4399,1655,637,6903,3871,5924,1353,TRUMP
Hood,53171,49,5196,12261,6677,3205,11166,8773,18716,5370,TRUMP
Hopkins,35645,38,4575,10047,2564,1353,8555,6594,10266,2709,TRUMP
Houston,22949,36,3403,6901,1877,614,5003,4567,7527,2157,TRUMP
Howard,36105,24,6100,8741,2406,858,10254,7329,9604,2094,TRUMP
Hudspeth,3330,26,1149,625,147,41,852,626,956,200,TRUMP
Hunt,88052,36,10945,23122,7200,3734,23070,16466,25535,5459,TRUMP
Hutchinson,21858,37,2641,5144,1570,618,5508,3934,6208,1464,TRUMP
Irion,1644,47,157,445,118,47,353,268,575,123,TRUMP
Jack,8946,37,1541,2905,445,240,2594,1655,2737,581,TRUMP
Jackson,14486,37,2062,3779,1394,366,3462,2448,4389,1072,TRUMP
Jasper,35768,38,4404,11794,1703,624,7976,6510,11088,2647,TRUMP
Jeff,2232,53,381,412,333,317,304,373,1114,147,TRUMP
Jefferson,252872,35,32760,64654,23119,9065,72827,47793,66758,15678,TRUMP
Jim,5239,40,1117,1120,313,121,1331,765,1656,335,CLINTON
Jim,41461,30,8857,10189,2071,939,11277,7214,10697,2488,CLINTON
Johnson,155450,37,19479,36959,13092,4990,40262,31401,42282,7617,TRUMP
Jones,19978,30,4439,6450,1082,356,5993,4495,5374,1199,TRUMP
Karnes,14879,28,3253,4235,1070,304,4657,2797,3705,1071,TRUMP
Kaufman,109289,38,12806,25195,9422,4248,28087,22841,28306,4699,TRUMP
Kendall,37361,54,2933,6379,6954,3618,7808,7211,12366,2952,TRUMP
Kenedy,565,33,116,140,31,19,146,84,142,19,CLINTON
Kent,821,53,142,171,98,58,140,131,304,95,TRUMP
Kerr,50149,46,5324,11746,6703,3493,10882,7472,17652,6269,TRUMP
Kimble,4486,44,631,1339,472,151,790,641,1907,534,TRUMP
King,267,60,48,90,33,15,76,53,91,22,TRUMP
Kinney,3577,40,949,839,296,38,876,615,1238,254,TRUMP
Kleberg,32029,30,5386,4693,3711,1560,12171,4708,6950,1698,CLINTON
Knox,3796,36,540,1051,309,79,854,623,1078,421,TRUMP
Lamar,49566,38,6039,12556,3785,1820,12243,9170,14771,3767,TRUMP
Lamb,13742,29,2562,2987,1010,419,3436,2350,3518,1141,TRUMP
Lampasas,20219,41,2205,4134,1961,950,4650,3882,6308,1415,TRUMP
La,7191,29,1906,1678,461,216,2244,1244,1596,388,CLINTON
Lavaca,19549,44,2776,6123,1651,558,4027,3186,6412,2131,TRUMP
Lee,16664,39,2338,4938,1400,548,4066,3083,5316,1166,TRUMP
Leon,16819,44,2171,4784,1431,618,3431,2809,5954,1514,TRUMP
Liberty,77486,31,13789,22150,3431,1472,21154,15420,21154,3642,TRUMP
Limestone,23454,33,3688,6594,1605,622,5981,4245,7013,1712,TRUMP
Lipscomb,3483,38,460,944,319,98,1027,575,902,226,TRUMP
Live,11873,36,1898,3451,861,248,2897,2244,3764,1021,TRUMP
Llano,19323,54,2024,4577,2992,1249,2918,2493,8502,2860,TRUMP
Loving,117,56,21,60,2,0,25,25,61,0,TRUMP
Lubbock,290782,34,30670,53610,34226,17573,103809,47688,64844,14830,TRUMP
Lynn,5764,35,917,1393,487,151,1355,1020,1660,427,TRUMP
McCulloch,8273,38,1362,2088,638,285,1770,1398,2780,711,TRUMP
McLennan,241505,33,28470,49514,24254,11234,76799,41056,58927,14490,TRUMP
McMullen,778,64,139,172,48,39,187,128,210,104,TRUMP
Madison,13838,31,3070,4236,783,273,5023,2712,3321,913,TRUMP
Marion,10248,41,1406,3159,712,439,1978,1804,3945,1004,TRUMP
Martin,5252,34,856,1284,422,139,1408,940,1334,226,TRUMP
Mason,4066,51,538,1165,466,219,850,602,1647,411,TRUMP
Matagorda,36598,33,6085,10059,2870,842,9369,6148,10723,2415,TRUMP
Maverick,56548,24,14673,9244,2566,958,16625,10235,11988,2714,CLINTON
Medina,47392,36,6887,11479,4197,1798,12275,8862,13933,2938,TRUMP
Menard,2182,40,379,537,137,133,380,329,788,223,TRUMP
Midland,151290,33,18838,28006,18144,7005,46597,26627,35402,7413,TRUMP
Milam,24344,36,3617,6924,2092,701,5526,4138,7620,2069,TRUMP
Mills,4875,46,643,962,518,247,853,839,1589,566,TRUMP
Mitchell,9169,24,2114,2470,563,153,3053,1825,2283,568,TRUMP
Montague,19478,44,2689,5199,1601,605,4246,3233,6467,1850,TRUMP
Montgomery,502586,41,53018,92813,73489,34253,128662,105543,134190,21611,TRUMP
Moore,22281,24,5342,4058,1251,334,6439,4144,4657,914,TRUMP
Morris,12700,39,1749,3351,839,454,2870,2210,3912,1295,TRUMP
Motley,1071,57,144,268,105,18,312,175,311,124,TRUMP
Nacogdoches,65531,35,7870,12559,6120,3875,23329,9961,15662,3604,TRUMP
Navarro,48118,34,7999,11059,3451,1535,11885,8998,13666,3080,TRUMP
Newton,14231,39,1593,5412,475,178,3501,2789,4412,968,TRUMP
Nolan,15061,32,2348,4185,913,319,3765,2681,4307,1115,TRUMP
Nueces,352060,30,49368,76002,32080,16493,102097,64427,91888,19715,TRUMP
Ochiltree,10642,28,1878,2209,673,292,2863,2128,2309,458,TRUMP
Oldham,2071,46,248,313,236,88,621,273,570,130,TRUMP
Orange,83217,38,7462,25249,5903,2326,21220,15894,24050,5243,TRUMP
Palo,27921,37,4048,8125,2037,978,6506,4886,8879,2038,TRUMP
Panola,23900,44,3071,5719,1505,624,5927,4206,7098,1745,TRUMP
Parker,121418,47,10651,25444,15457,6509,29383,24284,36911,6435,TRUMP
Parmer,10004,25,2216,2247,713,280,2761,1811,2391,550,TRUMP
Pecos,15807,26,3682,4209,802,357,4458,3177,3999,869,TRUMP
Polk,46113,43,7675,13717,2762,1398,10514,8531,15863,3274,TRUMP
Potter,122352,23,20852,25350,8335,3516,35482,23247,28386,6362,TRUMP
Presidio,7304,30,2312,954,688,578,1366,1541,2031,628,CLINTON
Rains,11037,43,1521,3447,602,261,2174,1909,4106,993,TRUMP
Randall,126782,43,8294,21537,17652,8264,36894,23201,33470,7100,TRUMP
Reagan,3598,25,772,1031,207,57,939,698,964,201,TRUMP
Real,3356,50,569,739,396,149,571,497,1232,574,TRUMP
Red,12567,41,2043,3920,949,252,2802,2187,4361,1118,TRUMP
Reeves,14179,22,4204,3192,808,220,4310,3048,3332,893,CLINTON
Refugio,7277,41,1142,1961,313,185,1630,1259,2321,684,TRUMP
Roberts,931,60,21,212,162,41,193,151,297,62,TRUMP
Robertson,16532,43,2494,4674,1333,475,3868,2860,5075,1356,TRUMP
Rockwall,85536,47,5502,14605,14445,6481,20871,19588,21812,3678,TRUMP
Runnels,10445,36,1629,3137,989,295,2361,1744,3311,1003,TRUMP
Rusk,53457,36,8251,13888,3698,1393,14006,10264,15289,3475,TRUMP
Sabine,10440,45,1256,3705,587,326,1900,1503,4040,1253,TRUMP
San,8695,41,1374,3053,448,238,1704,1356,3174,930,TRUMP
San,27023,38,4198,9367,1511,607,5648,4567,9674,1973,TRUMP
San,66070,33,10806,15405,4486,1974,17773,12157,17442,3832,TRUMP
San,5893,40,1055,1431,475,174,1497,1014,1862,554,TRUMP
Schleicher,3224,33,473,615,305,101,777,567,887,174,TRUMP
Scurry,17238,31,2408,4050,1209,586,4792,3310,4413,1086,TRUMP
Shackelford,3352,45,360,928,427,95,707,610,1083,298,TRUMP
Shelby,25725,35,4406,6612,1775,861,6380,4605,7229,1749,TRUMP
Sherman,3066,30,588,644,337,93,711,702,806,178,TRUMP
Smith,217552,39,25251,42349,25906,11126,60697,39159,57869,14576,TRUMP
Somervell,8608,45,1178,1775,986,401,1971,1687,2686,611,TRUMP
Starr,62648,19,20317,10013,2562,869,18481,11339,12342,2944,CLINTON
Stephens,9452,37,1530,2551,908,316,2420,1597,2911,756,TRUMP
Sterling,1346,47,205,289,139,56,288,214,421,70,TRUMP
Stonewall,1414,50,200,383,115,43,194,214,530,160,TRUMP
Sutton,3966,36,717,830,410,100,1039,706,1027,258,TRUMP
Swisher,7713,29,1237,2145,553,236,2083,1172,2121,671,TRUMP
Tarrant,1914526,35,209462,345071,263793,118400,545640,400136,447999,76581,TRUMP
Taylor,134435,34,13104,29982,14846,6495,44364,21375,32399,8604,TRUMP
Terrell,921,48,145,274,70,58,137,215,286,144,TRUMP
Terry,12687,26,2921,2766,732,312,3527,2220,3222,837,TRUMP
Throckmorton,1545,52,174,401,201,53,307,235,552,216,TRUMP
Titus,32553,29,5983,7119,2020,1011,8822,6218,7813,1725,TRUMP
Tom,115056,33,13889,27471,11860,5462,36703,18409,29684,7479,TRUMP
Travis,1121645,42,104894,152589,232424,125178,376873,249005,237789,37014,CLINTON
Trinity,14405,42,1972,4785,885,312,2766,2348,5243,1657,TRUMP
Tyler,21462,37,3080,7174,1198,524,5387,3885,6803,1846,TRUMP
Upshur,40096,40,5302,10031,2861,1105,9503,7177,12630,2686,TRUMP
Upton,3405,40,551,936,146,70,913,558,817,204,TRUMP
Uvalde,26952,33,5227,4899,2006,659,7385,4582,6819,1914,TRUMP
Val,48980,28,11214,9684,4239,1233,14400,8669,11021,2890,CLINTON
Van,52736,42,7772,14356,3795,1894,11444,9651,17297,4324,TRUMP
Victoria,90099,35,12151,21329,7742,3239,24417,15857,24417,5676,TRUMP
Walker,69330,29,9361,18670,6687,2638,25791,14282,17055,3259,TRUMP
Waller,45847,37,6392,10316,3509,1260,16413,7336,11049,1880,TRUMP
Ward,11225,31,1944,2884,579,247,2997,1998,2840,752,TRUMP
Washington,34236,43,4409,8266,3600,1466,8662,5683,10647,3081,TRUMP
Webb,263251,22,55912,44521,18188,7555,80028,50544,47385,9214,CLINTON
Wharton,41264,36,6900,10745,2748,1213,10646,7180,11554,2971,TRUMP
Wheeler,5618,41,747,1288,523,137,1270,961,1747,410,TRUMP
Wichita,131957,29,13086,34413,13034,6051,42490,22433,33253,8577,TRUMP
Wilbarger,13158,31,2077,3226,1174,296,3421,2250,3882,974,TRUMP
Willacy,22002,23,5733,6204,878,258,7107,4202,4840,1188,CLINTON
Williamson,473592,43,28009,75364,84293,38997,125028,111768,108926,18470,TRUMP
Wilson,45509,43,5182,11868,4260,1833,10649,9147,13835,2594,TRUMP
Winkler,7576,25,1476,1658,462,79,2068,1439,1826,356,TRUMP
Wise,61243,40,7326,16754,5356,1693,15250,11942,18005,3246,TRUMP
Wood,42712,44,5296,12098,3886,1513,8713,6663,15803,4613,TRUMP
Yoakum,8213,28,1527,1655,515,252,2053,1643,1864,394,TRUMP
Young,18329,42,2735,5031,1530,737,3996,3098,5865,1668,TRUMP
Zapata,14308,22,4191,2619,425,242,4178,2432,3005,558,CLINTON
Zavala,12060,28,3028,2304,481,136,3546,2050,2689,687,CLINTON
